"id","name","run","phone","created_at","updated_at"
"11","RCR-Support","76.101.552-4","(094) 595-7595","2016-01-13 15:21:53","2016-01-13 15:21:53"
"12","Capstone Copper","77.418.580-1","(000) 000-0000","2016-09-08 14:49:25","2016-09-08 14:49:25"
"14","Ingeniería Civil Vicente S.A.","93.546.000-k","(022) 209-0137","2016-12-28 12:30:48","2016-12-28 12:30:48"
"15","Carcamo y Clunes Gestion de Riesgos","76.748.589-1","(097) 779-0642","2017-03-06 11:56:32","2019-01-15 11:49:50"
"16","Guiñez","78.152.850-1","(099) 324-5650","2017-08-02 19:31:13","2017-08-02 19:31:13"
"18","CAPSTONE COPPER PLANTA","77.418.580-1","(999) 999-9999","2017-08-02 21:31:19","2017-08-02 21:31:19"
"19","Enaex","76.041.871-4","(976) 041-8714","2017-08-28 16:08:43","2017-08-28 16:08:43"
"20","EPSA","96.773.060-2","(099) 609-2847","2017-08-28 16:43:52","2017-08-28 16:43:52"
"22","VIGGO","76.642.320-5","(995) 342-9628","2017-08-31 16:11:48","2017-08-31 16:11:48"
"23","AMECO CHILE SA","96.862.140-8","(052) 220-4423","2018-12-26 09:18:17","2018-12-26 09:18:17"
"24","VMS Chile SA.","78.794.180-K","(055) 256-3971","2019-02-04 16:30:00","2019-02-04 16:30:00"
"26","Reveco & Schiaffo","76.259.779-9","(569) 902-0168","2019-02-11 15:13:36","2019-02-11 15:13:36"
"27","Schwager","76.145.047-6","(569) 220-5535","2019-02-11 15:38:05","2019-02-11 15:38:05"
"28","RV Conveyor","76.746.848-2","(569) 542-3831","2019-02-11 15:52:19","2019-02-11 15:52:19"
"29","FAM América Latina Maquinarias Ltda.","77.683.790-3","(562) 291-2300","2019-02-11 16:45:46","2019-02-11 16:45:46"
"30","Soc. Zuñiga e Hijos Ltda.","76.241.154-7","(996) 155-0961","2019-02-13 09:11:03","2019-02-13 12:52:53"
"31","CSI LTDA","85.840.100-3","(569) 666-9213","2019-03-04 15:58:26","2019-03-04 15:58:26"
"32","AMECO PLANTA","96.862.140-8","(569) 614-9742","2019-03-04 16:55:43","2019-03-04 16:55:43"
"33","COPEC","99.520.000-7","(052) 220-4429","2019-04-03 16:10:30","2019-04-03 16:10:30"
"34","M.Asmeco","76.077.051-5","(999) 070-5579","2019-05-21 18:39:31","2019-05-21 18:43:51"
"35","BAILAC","77.247.050-9","(052) 220-4468","2019-05-28 14:24:05","2019-05-28 14:24:05"
"36","Capstone Copper Geo","77.418.580-1","(121) 212-1212","2019-06-03 11:54:19","2019-06-03 11:54:19"
"37","ESACHS","99.579.260-5","(052) 220-4434","2019-07-01 13:29:20","2019-07-01 13:29:20"
"38","VECCHIOLA S.A. ","87.049.000-3","(569) 534-6950","2019-07-16 11:13:25","2019-07-16 11:13:25"
"39","Staff de Mantoverde S.A","77.020.457-7","(522) 220-4232","2019-07-23 23:06:17","2019-07-23 23:06:17"
"40","ATLAS COPCO","76.783.709-7","(569) 840-9703","2019-07-29 17:06:55","2019-07-29 17:06:55"
"41","ELECCON"," 99.576.460-1","(111) 111-1111","2019-07-31 15:48:22","2019-07-31 15:48:22"
"42","ELECMAS","76.224.524-8","(569) 681-1174","2019-08-06 18:31:29","2025-10-09 11:46:43"
"43","VERASAY (Acido)","76.303.840-8","(111) 111-1111","2019-08-22 15:10:47","2019-08-22 15:10:47"
"45","VERASAY (Prod. Terminado)","76.303.840-8","(111) 111-1111","2019-08-22 15:13:38","2019-08-22 15:13:38"
"47","Ingelcop Ltda","78.396.050-8","(569) 412-4374","2019-09-10 13:54:03","2019-09-10 13:54:03"
"48","INNOVATRONIC","52.000.043-7","(055) 269-3042","2019-09-16 19:19:56","2019-09-16 19:19:56"
"49","TECPROMIN","89.895.100-6","(222) 873-3639","2019-09-23 10:43:42","2019-09-23 10:43:42"
"50","SUEZ","77.441.870-9","(111) 111-1111","2019-10-15 18:04:46","2019-10-15 18:04:46"
"51","ECOCIL","76.015.444-K","(111) 111-1111","2019-10-15 18:10:03","2019-10-15 18:10:03"
"52","SODEXO","96.550.960-7","(111) 111-1111","2019-10-15 18:13:48","2019-10-15 18:13:48"
"53","Transportes Hurcam","52.003.032-8","(111) 111-1111","2019-10-15 18:28:47","2019-10-15 18:28:47"
